#Time       P(R1)      P(R2)      P(R3)     
 0.         0.         571.11E-12    0.        
 100.E-09      54.841E-15    570.87E-12    0.        
 200.E-09      219.36E-15    570.87E-12    1.E-21    
 5.1E-06       142.42E-12    570.72E-12    186.6E-18 
 10.E-06       546.69E-12    570.31E-12    2.7503E-15   
 14.9E-06      1.2118E-09    569.62E-12    13.515E-15   
 20.E-06       2.1798E-09    568.62E-12    43.733E-15   
 25.1E-06      3.4277E-09    567.34E-12    108.13E-15   
 30.E-06       4.8891E-09    565.84E-12    219.98E-15   
 34.9E-06      6.6064E-09    564.07E-12    401.63E-15   
 40.E-06       8.6644E-09    561.97E-12    690.77E-15   
 45.E-06       10.949E-09    559.63E-12    1.1029E-12   
 50.E-06       13.496E-09    557.03E-12    1.6755E-12   
 60.E-06       19.373E-09    551.07E-12    3.4517E-12   
 70.E-06       26.287E-09    544.09E-12    6.3531E-12   
 80.E-06       34.227E-09    536.14E-12    10.768E-12   
 90.E-06       43.185E-09    527.24E-12    17.136E-12   
 100.E-06      53.151E-09    517.43E-12    25.95E-12    
 110.E-06      64.116E-09    506.76E-12    37.748E-12   
 120.E-06      76.071E-09    495.25E-12    53.119E-12   
 130.E-06      89.007E-09    482.95E-12    72.693E-12   
 140.E-06      102.91E-09    469.9E-12     97.148E-12   
 150.E-06      117.79E-09    456.16E-12    127.2E-12    
 160.E-06      133.61E-09    441.76E-12    163.61E-12   
 170.E-06      150.39E-09    426.77E-12    207.18E-12   
 180.E-06      168.1E-09     411.23E-12    258.74E-12   
 190.E-06      186.74E-09    395.19E-12    319.15E-12   
 200.E-06      206.3E-09     378.71E-12    389.34E-12   
 210.E-06      226.78E-09    361.85E-12    470.24E-12   
 220.E-06      248.16E-09    344.66E-12    562.81E-12   
 230.E-06      270.44E-09    327.21E-12    668.06E-12   
 240.E-06      293.62E-09    309.55E-12    787.03E-12   
 250.E-06      317.67E-09    291.75E-12    920.76E-12   
 260.E-06      342.61E-09    273.87E-12    1.0704E-09   
 270.E-06      368.41E-09    255.98E-12    1.2369E-09   
 280.E-06      395.07E-09    238.14E-12    1.4216E-09   
 290.E-06      422.58E-09    220.41E-12    1.6255E-09   
 300.E-06      450.95E-09    202.87E-12    1.8499E-09   
 310.E-06      480.15E-09    185.58E-12    2.0959E-09   
 320.E-06      510.19E-09    168.62E-12    2.3648E-09   
 330.E-06      541.05E-09    152.05E-12    2.6578E-09   
 340.E-06      572.74E-09    135.94E-12    2.9762E-09   
 350.E-06      605.23E-09    120.37E-12    3.3213E-09   
 360.E-06      638.54E-09    105.4E-12     3.6942E-09   
 370.E-06      672.64E-09    91.123E-12    4.0965E-09   
 380.E-06      707.54E-09    77.595E-12    4.5293E-09   
