refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
U1053	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
U1052	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
U1051	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
U1003	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
U1002	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
U1001	DIP08300	CA3140E	unknown	unknown	Conrad	174785	unknown	unknown	unknown	unknown	
R1054	TRIM_Piher_PT-10LH	10k	Piher	unknown	Conrad	unknown	unknown	unknown	unknown	unknown	
R1053	RES1016	4k7	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R1055	RES1016	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R1056	RES1016	180k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C1052	CAPA750-320X610X900	220pF MKT	Epcos	unknown	Conrad	501047	unknown	unknown	unknown	unknown	
C1051	CAPA750-320X610X900	220pF MKT	Epcos	unknown	Conrad	501047	unknown	unknown	unknown	unknown	
R1052	RES1016	18k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R1051	RES1016	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C1003	CAPPR200-500X1100	1uF/35V	unknown	unknown	Conrad	unknown	unknown	unknown	unknown	unknown	
C1053	CAPPR200-500X1100	1uF/35V	unknown	unknown	Conrad	unknown	unknown	unknown	unknown	unknown	
R1061	TRIM_Piher_PT-10LH	10k	Piher	unknown	Conrad	unknown	unknown	unknown	unknown	unknown	
R1060	RES1016	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D1053	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
D1054	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
R1058	RES1016	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R1059	RES1016	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D1052	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
D1051	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
R1057	RES1016	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R1011	TRIM_Piher_PT-10LH	10k	Piher	unknown	Conrad	unknown	unknown	unknown	unknown	unknown	
R1010	RES1016	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D1003	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
D1004	unknown	1N4148	Philips	unknown	Conrad	162280	0.05	unknown	unknown	unknown	
R1008	RES1016	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
